,en,de,original_de
0,A man sleeping in a green room on a couch., Ein Mann schläft in einem grünen Raum auf einem Sofa . ,Ein Mann schläft in einem grünen Raum auf einem Sofa.
0,A boy wearing headphones sits on a woman's shoulders., Ein Junge mit Kopfhörer sitzt auf den Schultern einer Frau . ,Ein Junge mit Kopfhörern sitzt auf den Schultern einer Frau.
0,Two men setting up a blue ice fishing hut on an iced over lake, Zwei Männer bauen eine blaue Hütte auf einem  und  einen See . ,Zwei Männer bauen eine blaue Eisfischerhütte auf einem zugefrorenen See auf
0,A balding man wearing a red life jacket is sitting in a small boat., Ein Mann mit Glatze und einer roten Jacke sitzt in einem kleinen Boot und sitzt auf einem kleinen Boot . ,"Ein Mann mit beginnender Glatze, der eine rote Rettungsweste trägt, sitzt in einem kleinen Boot."
0,"A lady in a red coat, holding a bluish hand bag likely of asian descent, jumping off the ground for a snapshot."," Eine Dame in einem roten Mantel , hält eine Tasche von   , das aus dem Boden  macht . ","Eine Frau in einem rotem Mantel, die eine vermutlich aus Asien stammende Handtasche in einem blauen Farbton hält, springt für einen Schnappschuss in die Luft."
0,A brown dog is running after the black dog., Ein brauner Hund rennt nach dem schwarzen Hund nach . ,Ein brauner Hund rennt dem schwarzen Hund hinterher.
0,A young boy wearing a Giants jersey swings a baseball bat at an incoming pitch.," Ein Junge in einem  schwingt einen Schläger , schwingt einen Ball in einem  Ball . ",Ein kleiner Junge mit einem Giants-Trikot schwingt einen Baseballschläger in Richtung eines ankommenden Balls.
0,A man in a cluttered office is using the telephone, Ein Mann in einer überfüllten Büro benutzt den Büro mit dem Stift . ,Ein Mann telefoniert in einem unaufgeräumten Büro
0,A smiling woman in a peach tank top stands holding a mountain bike, Eine lächelnde Frau in einem  Oberteil steht mit einem Mountainbike . ,Eine lächelnde Frau mit einem pfirsichfarbenen Trägershirt hält ein Mountainbike
0,A young child is standing alone on some jagged rocks., Ein kleines Kind steht alleine über Felsen . ,Ein kleines Kind steht allein auf einem zerklüfteten Felsen.
0,A person on a snowmobile in mid jump., Eine Person auf einem seinem Pferd mit seinem Fahrrad springt . ,Eine Person auf einem Schneemobil mitten im Sprung.
0,Three young children stand around a blue and white barrel., Drei kleine Kinder stehen um einen blauen  . ,Drei kleine Kinder stehen um ein blau-weißes Fass herum.
0,A woman is sitting by her dried flower display at an outside market., Eine Frau sitzt neben  einer  draußen auf einem Markt . ,Eine Frau sitzt bei ihrem Trockenblumensortiment auf einem Freiluftmarkt.
0,A female playing a song on her violin., Eine Frau spielt ein Lied auf der Geige . ,Eine Frau spielt ein Lied auf ihrem Cello.
0,Three people on two dirt-bikes and one four-wheeler are riding through brown grass., Drei Personen auf zwei  fahren auf einem Felsen durch  Gras . ,Drei Menschen auf zwei Geländemotorrädern und einem Quad fahren durch braunes Gras.
0,A half naked man is sleeping on his chair outdoors., Ein  Mann schläft auf seinem Stuhl im Freien . ,Ein halbnackter Mann schläft draußen auf seinem Stuhl.
0,A group of people standing in front of a hut in a parking lot., Eine Gruppe von Menschen steht vor einer Hütte . ,Eine Gruppe von Menschen steht vor einer Bude auf einem Parkplatz.
0,A young woman is making rugs in the rain forest, Eine junge Frau macht im Regen einen  Wald . ,Eine junge Frau fertigt im Regenwald Teppiche an
0,Three girls make faces as one takes a drink while they stand in a busy street.," Drei Mädchen machen einen Getränk , einer trinkt , während sie eine belebte Straße stehen . ","Drei Mädchen, von denen eines gerade trinkt, stehen in einer belebten Straße und schneiden Grimassen."
